Platform,Date ,Day,Time,Meal,Restaurant,City,Type,Food1,Quantity1,Food2,Quantity2,Price,Mode of Payment
Zomato,1/9/23,Monday,17:05,Snack,Pizza Hut,Nellore,American,Pizza,2,,,223,COD
Zomato,1/13/23,Friday,16:15,Snack,Coffea,Raipur,Chinesse,Soup,2,,,180,UPI
Zomato,1/14/23,Saturday,15:16,Lunch,Pizza Hut,Nellore,American,Pizza,2,,,203,COD
Zomato,1/22/23,Sunday,23:33,Midnight Snack,Pizza Hut,Raipur,American,Pizza,2,,,144,COD
Zomato,1/24/23,Tuesday,17:57,Miscellenous,Mystery Cafe & Bakes,Raipur,Dessert,Cake,1,,,525,UPI
Zomato,1/30/23,Monday,23:24,Midnight Snack,McDonald's,Raipur,American,Burger,1,Fries,1,321,COD
Swiggy,3/10/23,Friday,18:31,Snack,La Pinoz,Bhilai,Italian,Pasta,1,,,156,UPI
Swiggy,3/31/23,Friday,15:51,Snack,La Pinoz,Bhilai,"Italian,American",Pasta,1,Garlic Bread,1,255,UPI
Zomato,4/3/23,Monday,1:12,Midnight Snack,Pizza Hut,Raipur,American,Pizza,1,,,120,COD
Zomato,4/7/23,Friday,17:25,Snack,More Over Coffess,Raipur,American,Fries,1,,,225,COD
Zomato,4/10/23,Monday,22:08,Dinner,Little Hut,Raipur,Chinesse,Noodles,1,Manchuria,1,285,COD
Zomato,4/18/23,Tuesday,23:25,Midnight Snack,Pizza Hut,Raipur,American,Pizza,2,Panner Pocket,1,377,COD
Zomato,4/29/23,Saturday,17:30,Snack,La Pinoz,Raipur,Italian,Pasta,1,Garlic Bread,1,243,COD
Zomato,5/26/23,Friday,13:19,Lunch,Pizza Hut,Secunderabad,American,Pizza,4,,,529,COD
Zomato,6/14/23,Wednesday,12:41,Lunch,Pizza Hut,Nellore,American,Pizza,3,,,275,COD
Zomato,7/30/23,Sunday,21:51,Dinner,Pizza Hut,Bhilai,American,Pizza,2,,,271,COD
Zomato,8/10/23,Thursday,0:00,Midnight Snack,KFC,Bhilai,American,Fries,2,Lava Cake,1,428,UPI
Zomato,8/10/23,Thursday,15:08,Lunch,Pizza Hut,Bhilai,American,Pizza,2,,,293,COD
Zomato,8/17/23,Thursday,17:14,Snack,La Pinoz,Bhilai,"Italian,Dessert",Pasta,1,Lava Cake,1,326,UPI
Zomato,8/19/23,Saturday,15:03,Lunch,McDonald's,Bhilai,American,Burger,1,Fries,1,365,UPI
Zomato,8/31/23,Thursday,23:03,Dinner,Eden,Bhilai,"Chinesse,North Indian",Fried Rice,1,Biriyani,1,500,UPI
Zomato,9/4/23,Monday,19:45,Miscellenous,Mad Bakers,Bhilai,Dessert,Cake,1,,,737,UPI
Zomato,9/4/23,Monday,22:33,Dinner,Crossroads,Bhilai,Chinesse,Spring Roll,1,,,170,UPI
Zomato,9/6/23,Wednesday,15:53,Snack,McDonald's,Bhilai,American,Fries,1,,,210,UPI
Zomato,9/10/23,Sunday,19:29,Snack,Eden,Bhilai,American,Fries,1,,,177,UPI
Zomato,9/10/23,Sunday,21:31,Dinner,La Pinoz,Bhilai,Italian,Pasta,1,Garlic Bread,1,299,UPI
Zomato,9/13/23,Wednesday,23:58,Midnight Snack,Pizza Hut,Bhilai,"Mexican,American",Jalapeno Poppers,1,Fries,1,289,UPI
Zomato,9/14/23,Thursday,23:21,Midnight Snack,Wafflez,Bhilai,Dessert,Waffle,1,Thick Shake,1,205,UPI
Zomato,9/15/23,Friday,12:20,Lunch,Biriyani By Kilo,Bhilai,North Indian,Biriyani,1,,,170,UPI
Zomato,10/13/23,Friday,21:50,Midnight Snack,Mad Bakers,Bhilai,Dessert,Cake,2,,,223,UPI
Zomato,10/15/23,Sunday,0:13,Midnight Snack,Chawal Bowl,Bhilai,"Chinesse,Dessert",Noodles,1,Cake,1,258,UPI
Zomato,10/19/23,Thursday,14:26,Lunch,La Pinoz,Bhilai,Italian,Pasta,1,Garlic Bread,1,299,UPI
Zomato,10/25/23,Wednesday,19:54,Dinner,Pizza Hut,Nellore,American,Pizza,1,,,495,COD
Zomato,10/28/23,Saturday,20:23,Dinner,Vennela's Sai Zero Degrees,Chirala,"Chinesse,North Indian",Noodles,1,Chaat,1,273,UPI
Zomato,10/29/23,Sunday,22:30,Dinner,RR Point,Vijayawada,North Indian,Roti,5,Paneer Butter Masala,1,177,COD
Zomato,11/9/23,Thursday,13:29,Lunch,Dwarika,Bhilai,North Indian,Malai Kofta,1,Butter Naan,1,295,UPI
Zomato,11/13/23,Monday,20:09,Dinner,Biriyani By Kilo,Bhilai,North Indian,Biriyani,1,,,268,UPI
Swiggy,11/16/23,Thursday,23:09,Midnight Snack,McDonald's,Bhilai,American,Burger,2,Fries,1,211,UPI
Swiggy,11/17/23,Friday,23:54,Midnight Snack,The pancake co,Bhilai,Italian,Pasta,1,,,134,UPI
Swiggy,11/23/23,Thursday,13:43,Lunch,Kiva,Bhilai,Italian,Pasta,1,,,172,UPI
Swiggy,11/27/23,Monday,12:54,Lunch,The Nomads Cafe,Bhilai,Chinesse,Manchurian,1,Noodles,1,269,UPI
Swiggy,11/28/23,Tuesday,19:11,Dinner,La Pinoz,Bhilai,Italian,Pasta,1,Garlic Bread,1,218,UPI
Swiggy,12/1/23,Friday,0:10,Midnight Snack,McDonald's,Bhilai,American,Burger,1,Fries,1,221,UPI
Swiggy,12/3/23,Sunday,13:34,Lunch,Malgudi,Bhilai,South Indian,Dosa,1,Idly,1,141,UPI
Swiggy,12/4/23,Monday,18:00,Snack,The Pancake co,Bhilai,American,Sandwich,1,Pancake,1,211,UPI
Swiggy,12/6/23,Wednesday,20:08,Dinner,The Good Bowl,Bhilai,North Indian,Rice Bowl,1,,,207,UPI
Swiggy,12/8/23,Friday,21:44,Dinner,Dominos,Bhilai,"American,Mexican",Pizza,1,Taco,1,268,UPI
Swiggy,12/18/23,Monday,18:44,Snack,Exotica,Nellore,"American,Italian",Pizza,1,Pasta,1,434,UPI
Swiggy,12/19/23,Tuesday,13:49,Lunch,Kritunga,Nellore,North Indian,Biriyani,1,,,319,UPI
Swiggy,12/26/23,Tuesday,19:05,Dinner,La Pinoz,Bhilai,Italian,Lava Cake,1,Pasta,1,245,UPI
Swiggy,12/29/23,Friday,12:50,Lunch,The Good Bowl,Bhilai,North Indian,Rice Bowl,1,,,158,UPI
Swiggy,12/30/23,Saturday,19:10,Dinner,McDonald's,Bhilai,American,Fries,1,Burger,1,296,UPI
Swiggy,1/2/24,Tuesday,0:58,Midnight Snack,Pizza Hut,Bhilai,American,Pizza,1,,,166,UPI
Swiggy,1/4/24,Thursday,12:20,Lunch,The Good Bowl,Bhilai,North Indian,Biriyani,1,,,234,UPI
Swiggy,1/14/24,Sunday,16:57,Snack,The Good Bowl,Bhilai,North Indian,Rice Bowl,1,,,157,UPI
Swiggy,1/17/24,Wednesday,14:52,Lunch,The Good Bowl,Bhilai,North Indian,Rice Bowl,1,,,157,UPI
Swiggy,1/19/24,Friday,0:52,Midnight Snack,The Good Bowl,Bhilai,North Indian,Rice Bowl,1,,,157,UPI
Swiggy,1/23/24,Tuesday,18:34,Dinner,The Good Bowl,Bhilai,North Indian,Rice Bowl,1,,,157,UPI
