Platform,Date ,Day,Time,Meal,Restaurant,City,Type,Food1,Quantity1,Food2,Quantity2,Price,Mode of Payment
Swiggy,3/10/23,Friday,18:31,Snack,La Pinoz,Bhilai,Italian,Pasta,1,,,156,UPI
Swiggy,3/31/23,Friday,15:51,Snack,La Pinoz,Bhilai,"Italian,American",Pasta,1,Garlic Bread,1,255,UPI
Swiggy,11/16/23,Thursday,23:09,Midnight Snack,McDonald's,Bhilai,American,Burger,2,Fries,1,211,UPI
Swiggy,11/17/23,Friday,23:54,Midnight Snack,The pancake co,Bhilai,Italian,Pasta,1,,,134,UPI
Swiggy,11/23/23,Thursday,13:43,Lunch,Kiva,Bhilai,Italian,Pasta,1,,,172,UPI
Swiggy,11/27/23,Monday,12:54,Lunch,The Nomads Cafe,Bhilai,Chinesse,Manchurian,1,Noodles,1,269,UPI
Swiggy,11/28/23,Tuesday,19:11,Dinner,La Pinoz,Bhilai,Italian,Pasta,1,Garlic Bread,1,218,UPI
Swiggy,12/1/23,Friday,0:10,Midnight Snack,McDonald's,Bhilai,American,Burger,1,Fries,1,221,UPI
Swiggy,12/3/23,Sunday,13:34,Lunch,Malgudi,Bhilai,South Indian,Dosa,1,Idly,1,141,UPI
Swiggy,12/4/23,Monday,18:00,Snack,The Pancake co,Bhilai,American,Sandwich,1,Pancake,1,211,UPI
Swiggy,12/6/23,Wednesday,20:08,Dinner,The Good Bowl,Bhilai,North Indian,Rice Bowl,1,,,207,UPI
Swiggy,12/8/23,Friday,21:44,Dinner,Dominos,Bhilai,"American,Mexican",Pizza,1,Taco,1,268,UPI
Swiggy,12/18/23,Monday,18:44,Snack,Exotica,Nellore,"American,Italian",Pizza,1,Pasta,1,434,UPI
Swiggy,12/19/23,Tuesday,13:49,Lunch,Kritunga,Nellore,North Indian,Biriyani,1,,,319,UPI
Swiggy,12/26/23,Tuesday,19:05,Dinner,La Pinoz,Bhilai,Italian,Lava Cake,1,Pasta,1,245,UPI
Swiggy,12/29/23,Friday,12:50,Lunch,The Good Bowl,Bhilai,North Indian,Rice Bowl,1,,,158,UPI
Swiggy,12/30/23,Saturday,19:10,Dinner,McDonald's,Bhilai,American,Fries,1,Burger,1,296,UPI
